"class","age","sex","survived"
"C","Y","Y","Y"
"C","Y","Y","Y"
"C","Y","Y","Y"
"C","Y","Y","N"
"C","Y","Y","N"
"C","Y","Y","N"
"C","Y","Y","N"
"C","Y","Y","N"
"C","Y","Y","N"
"C","Y","Y","N"
"C","Y","Y","N"
"C","Y","Y","N"
"C","Y","Y","N"
"C","Y","Y","N"
"C","Y","Y","N"
"C","Y","Y","N"
"C","Y","Y","N"
"C","Y","Y","N"
"C","Y","Y","N"
"C","Y","Y","N"
